Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
be at attention,6,3,5,2,2,6,3,5,2,2
be distinguished in several sports,1,4,2,2,2,1,4,2,2,2
to hold firm,2,5,2,3,6,2,5,2,3,6
don't allow such treatment,1,1,2,2,5,1,1,2,2,5
to pass the test of time,1,2,1,2,2,1,2,1,2,2
united we are strong,1,2,3,7,3,1,2,3,7,3
we are backed up by 30 years experience,1,1,1,4,1,1,1,1,4,1
let the issue remain as is,1,2,2,2,2,1,2,2,2,2
leave the mixture undisturbed,1,1,1,2,1,1,1,1,2,1
have a dale with someone who didn 't show up,1,1,1,1,1,1,1,1,1,1
he measures six-foot nine,7,1,1,1,1,7,1,1,1,1
the clock is on the mantle,3,1,2,1,1,3,1,2,1,1
one-night fling,1,1,2,2,1,1,1,2,2,1
to be in the position to make a profit,1,2,3,3,1,1,2,3,3,1
to be in someone else's shoes,1,2,3,5,1,1,2,3,5,1
on the witness platform,2,1,3,2,1,2,1,3,2,1
be in aw,1,1,2,2,1,1,1,2,2,1
the police told them to get back,1,1,5,2,2,1,1,5,2,2
support your man,1,2,2,3,2,1,2,2,3,2
the engine can't endure the constant wear,1,1,1,2,3,1,1,1,2,3
to be on shaky ground,2,5,2,2,2,2,5,2,2,2
to be accused,1,1,2,2,2,1,1,2,2,2
the house is in the clearing,1,1,5,3,1,1,1,5,3,1
the barometer is at 30 inches,2,1,1,1,1,2,1,1,1,1
as the matter now exists,1,1,2,3,1,1,1,2,3,1
the part represents the whole,1,3,5,5,1,1,3,5,5,1
it conforms with reason,1,2,2,5,1,1,2,2,5,1
they did nothing but hang around,1,1,2,2,1,1,1,2,2,1
to face great odds,1,2,2,2,5,1,2,2,2,5
a roaring ovation,1,1,2,1,1,1,1,2,1,1
the boss always hovers over me,5,2,5,5,4,5,2,5,5,4
he remains committed,1,2,1,2,3,1,2,1,2,3
