Stimulus,SUPPORT,PRESSURE,CONSTRAINT,COVERING,VISIBILITY,SUPPORT_Completion_Text,PRESSURE_Completion_Text,CONSTRAINT_Completion_Text,COVERING_Completion_Text,VISIBILITY_Completion_Text
The family depends on the father,7,3,6,1,1,7,3,6,1,1
There is a physician on call,3,1,5,1,1,3,1,5,1,1
All books are on sale,1,1,1,1,1,1,1,1,1,1
The band is on tour,1,1,2,1,1,1,1,2,1,1
The boat is on course,1,1,5,1,1,1,1,5,1,1
The bus is on schedule,1,1,4,1,1,1,1,4,1,1
Jeff is on time,1,1,1,1,1,1,1,1,1,1
Sam is on his way home,1,1,1,1,1,1,1,1,1,1
She puts the blame on my actions,5,1,6,3,1,5,1,6,3,1
He pulled a gun on me,1,1,6,1,1,1,1,6,1,1
Pat has been on sick leave,1,1,2,1,1,1,1,2,1,1
There is a parade on Sunday,1,1,1,1,1,1,1,1,1,1
The program will be broadcast on CBS,1,1,1,1,1,1,1,1,1,1
Joan works on the committee,3,1,3,1,1,3,1,3,1,1
Linda is very knowledgeable on this subject,1,1,1,1,1,1,1,1,1,1
The factory workers are on strike for a second day,1,1,4,1,1,1,1,4,1,1
These cold nights are very hard on the homeless,1,5,7,1,1,1,5,7,1,1
They ordered a court martial to be held on him,1,1,1,1,1,1,1,1,1,1
Pam is on a diet,2,1,7,1,1,2,1,7,1,1
The dog is on the leash,2,1,7,1,1,2,1,7,1,1
She is on the pill,1,1,5,1,1,1,1,5,1,1
The ship is on the anchor,2,1,3,1,1,2,1,3,1,1
The lunch is on George,4,1,4,1,1,4,1,4,1,1
He lives on a pension,1,1,4,1,1,1,1,4,1,1
The boss is on my neck,3,7,7,5,1,3,7,7,5,1
There are fifty nurses on the hospital staff,4,1,1,1,1,4,1,1,1,1
There is ten cent interest on the dollar,1,1,1,1,1,1,1,1,1,1
The vase is on the table,7,7,7,5,7,7,7,7,5,7
The fish is on the surface,5,4,6,4,7,5,4,6,4,7
The fly is on the ceiling,7,5,7,5,7,7,5,7,5,7
She has a beautiful ring on her finger,7,1,6,5,5,7,1,6,5,5
The house rests on the foundation,7,7,7,4,1,7,7,7,4,1
They hung a picture on the wall,5,1,7,3,5,5,1,7,3,5
I have a cut on my finger,1,1,5,3,1,1,1,5,3,1
I have a rash on my back,1,1,3,5,1,1,1,3,5,1
The actor is on stage,5,1,7,1,7,5,1,7,1,7
He resides on the continent,1,1,3,1,1,1,1,3,1,1
