Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
stand at attention,7,4,7,1,7,7,4,7,1,7
stand out in several sports,1,1,1,3,1,1,1,1,3,1
to stand firm,7,7,4,4,7,7,7,4,4,7
don't stand for such treatment,1,1,1,1,7,1,1,1,1,7
to stand the test of time,1,1,7,7,4,1,1,7,7,4
united we stand,1,7,7,7,7,1,7,7,7,7
we stand on 30 years of experience,1,1,7,7,1,1,1,7,7,1
let the issue stand,1,1,1,1,1,1,1,1,1,1
let the mixture stand,1,4,1,1,7,1,4,1,1,7
get stood up for a date,1,1,1,1,1,1,1,1,1,1
he stands six-foot nine,7,1,1,1,1,7,1,1,1,1
the clock stands on the mantle,1,1,1,7,1,1,1,1,7,1
one-night stand,1,1,1,1,1,1,1,1,1,1
to stand to profit,1,1,7,4,1,1,1,7,4,1
to stand in someone else's shoes,4,5,7,7,5,4,5,7,7,5
on the witness stand,1,1,7,3,1,1,1,7,3,1
stand in awe,1,1,7,1,1,1,1,7,1,1
the police told them to stand back,1,1,7,7,7,1,1,7,7,7
stand by your man,3,4,5,3,3,3,4,5,3,3
the engine can't stand the constant wear,1,1,1,3,7,1,1,1,3,7
stand on shaky ground,1,7,1,5,3,1,7,1,5,3
to stand accused,1,1,7,7,1,1,1,7,7,1
the house stands in the clearing,1,1,3,1,1,1,1,3,1,1
the barometer stands at 30 inches,7,1,1,1,1,7,1,1,1,1
as the matter now stands,1,1,1,1,1,1,1,1,1,1
the part stands for the whole,7,7,7,7,3,7,7,7,7,3
it stands to reason,1,4,1,7,1,1,4,1,7,1
they did nothing but stand around,1,1,1,1,1,1,1,1,1,1
to stand against great odds,4,4,7,5,7,4,4,7,5,7
a standing ovation,1,1,7,7,1,1,1,7,7,1
the boss always stands over me,7,1,7,7,1,7,1,7,7,1
he stands committed,1,1,1,4,7,1,1,1,4,7
