Action	UP	DOWN	LEFT	RIGHT
fled	0	17	7	0
pointed at	3	19	1	1
pulled	0	22	2	0
pushed	2	21	0	1
walked	0	24	0	0
hunted	0	23	1	0
impacted	0	24	0	0
perched	19	5	0	0
showed	0	24	0	0
smashed	0	24	0	0
bombed	0	24	0	0
flew	24	0	0	0
floated	12	12	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	23	1	0
gave to	0	24	0	0
offended	0	24	0	0
rushed	1	23	0	0
warned	2	22	0	0
owned	0	24	0	0
regretted	0	22	2	0
rested	3	20	1	0
tempted	0	24	0	0
wanted	0	24	0	0
hoped	20	4	0	0
increased	24	0	0	0
obeyed	0	24	0	0
respected	24	0	0	0
succeeded	19	5	0	0
