Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
be at attention,7,5,7,5,5,"

7 (very strongly related)","

5","

7 (very strongly related). The phrase ""be at attention"" implies","

5","

5"
be distinguished in several sports,1,3,5,5,1,"

1. Not at all related","

3","

5","

5","

1. Not at all related"
to hold firm,7,7,5,5,7,"

7 (very strongly related). To hold firm implies a sense of stability","

7 (very strongly related). To hold firm implies a sense of stability","

5","

5","

7 (very strongly related)"
don't allow such treatment,1,3,7,7,7,"

1 (not at all related).","

3","

7 (very strongly related). The phrase ""don't allow such treatment","

7 (very strongly related)","

7 (very strongly related)"
to pass the test of time,1,3,5,7,5,"

1. Not at all related","

3","

5. The phrase ""to pass the test of time"" is moderately","

7 (very strongly related). The phrase ""to pass the test of","

5"
united we are strong,3,7,7,7,7,"

3. Moderately related","

7 (very strongly related). The phrase ""united we are strong""","

7 (very strongly related). The phrase ""united we are strong""","

7 (very strongly related)","

7 (very strongly related). The phrase ""united we are strong"""
we are backed up by 30 years experience,1,3,5,5,1,"

1 (not at all related).","

3","

5. The phrase ""we are backed up by 30 years experience""","

5","

1. Not at all related"
let the issue remain as is,1,3,0,1,3,"

1 (not at all related)","

3","

I would rate the phrase ""let the issue remain as is"" as","

1","

3"
leave the mixture undisturbed,1,5,0,3,5,"

1 (not at all related)","

5","

I would rate the phrase ""leave the mixture undisturbed"" as","

3","

5"
have a dale with someone who didn 't show up,1,1,1,1,1,"

1 (not at all related).","

1 (not at all related).","

1. Not at all related.","

1. Not at all related.","

1 (not at all related)."
he measures six-foot nine,7,1,1,1,1,"

7 (very strongly related)","

1 (not at all related).","

1 (not at all related).","

1 (not at all related).","

1 (not at all related)."
the clock is on the mantle,5,1,3,7,1,"

5","

1 (not at all related).","

3. Moderately related","

7 (very strongly related)","

1 (not at all related)."
one-night fling,1,1,0,5,1,"

1 (not at all related).","

1 (not at all related).","

I would rate the phrase ""one-night fling"" as a","

5","

1. Not at all related"
to be in the position to make a profit,3,5,7,5,3,"

3","

5","

7 (very strongly related). To be in the position to make a","

5","

3"
to be in someone else's shoes,5,5,0,7,5,"

5","

5. The phrase ""to be in someone else's shoes"" is","

I would rate the phrase ""to be in someone else's shoes""","

7 (very strongly related). The phrase ""to be in someone else","

5. The phrase ""to be in someone else's shoes"" is"
on the witness platform,5,1,7,5,1,"

5","

1 (not at all related).","

7 (very strongly related). The phrase ""on the witness platform""","

5","

1. Not at all related"
be in aw,1,1,7,3,1,"

1 (not at all related).","

1. Not at all related","

7 (very strongly related). Being in awe is a feeling of admiration","

3","

1. Not at all related"
the police told them to get back,1,1,5,7,5,"

1 (not at all related).","

1 (not at all related).","

5. The phrase ""the police told them to get back"" is","

7 (very strongly related)","

5"
support your man,5,5,5,5,3,"

5","

5. The phrase ""support your man"" is somewhat related to the","

5. The phrase ""support your man"" is moderately related to the","

5","

3"
the engine can't endure the constant wear,1,1,1,5,5,"

1 (not at all related).","

1 (not at all related).","

1 (not at all related).","

5","

5"
to be on shaky ground,5,7,5,7,5,"

5","

7 (very strongly related)","

5. The phrase ""to be on shaky ground"" implies that a","

7 (very strongly related). The phrase ""to be on shaky ground","

5"
to be accused,1,1,7,7,3,"

1 (not at all related).","

1. Not at all related","

7 (very strongly related). To be accused implies that one is at","

7 (very strongly related)","

3"
the house is in the clearing,1,1,5,3,1,"

1 (not at all related)","

1 (not at all related).","

5. The phrase ""the house is in the clearing"" is moderately","

3. Moderately related","

1 (not at all related)."
the barometer is at 30 inches,7,1,1,3,1,"

7 (very strongly related)","

1 (not at all related).","

1 (not at all related).","

3","

1 (not at all related)."
as the matter now exists,1,1,3,3,1,"

1 (not at all related).","

1","

3","

3","

1"
the part represents the whole,5,5,7,7,5,"

5","

5. The phrase ""the part represents the whole"" is moderately related","

7 (very strongly related). The phrase ""the part represents the whole","

7 (very strongly related)","

5"
it conforms with reason,1,5,5,7,3,"

1 (not at all related).","

5","

5","

7 (very strongly related). The phrase ""it conforms with reason","

3"
they did nothing but hang around,1,1,5,3,1,"

1 (not at all related)","

1 (not at all related).","

5","

3","

1 (not at all related)."
to face great odds,5,5,7,5,7,"

5","

5","

7 (very strongly related). The phrase ""to face great odds""","

5","

7 (very strongly related)"
a roaring ovation,1,1,7,7,3,"

1 (not at all related).","

1 (not at all related).","

7 (very strongly related). A roaring ovation is a central event","

7 (very strongly related)","

3"
the boss always hovers over me,7,1,7,7,5,"

7 (very strongly related)","

1 (not at all related).","

7 (very strongly related). The phrase implies that the boss is in","

7 (very strongly related)","

5"
he remains committed,1,1,1,5,5,"

1 (not at all related).","

1. Not at all related","

1. Not at all related","

5","

5"
