Stimulus,SUPPORT,PRESSURE,CONSTRAINT,COVERING,VISIBILITY
The family depends on the father,6.999998266643743,6.76563239922352,6.668018425604442,1.0011861297518254,1.0031888255897516
There is a physician on call,6.9918048474146755,5.400622955680229,6.737814406219175,1.3295204314356526,6.93314882164796
All books are on sale,1.069161450656903,1.0650640821185011,1.060173865444413,1.0017198413972908,1.290485773837467
The band is on tour,6.391382702392609,3.6793257468373888,5.50002310116805,1.5626657495215488,6.992160203056801
The boat is on course,6.957458357097238,3.549383185288582,6.997222791585064,2.8790271048653864,6.97650459328309
The bus is on schedule,6.97730184411216,2.160168504853509,6.9805295516700605,2.2145158927134396,6.737301229037246
Jeff is on time,1.928239617273882,1.5805796042888727,4.949697290963963,1.0126091908993924,3.4042087877215996
Sam is on his way home,2.4054387664427455,1.4368080580313682,3.0464578773663624,1.0481070169578284,2.915965983783686
She puts the blame on my actions,3.6993607387761727,6.996115269599802,6.960002838904485,1.0107022734414945,1.0246711339842676
He pulled a gun on me,2.9411612069145465,6.999999800802168,6.999997064460308,1.019642806460008,1.180678626293348
Pat has been on sick leave,1.0720857085284128,1.0746474858398283,1.9803449775547919,1.0003419404621297,1.0056017706129043
There is a parade on Sunday,1.05197514708799,1.02846682301624,1.1150075855693318,1.0047266813317908,3.2358854827104633
The program will be broadcast on CBS,6.717602856272051,1.0695149502294434,4.725940130423894,1.106665312838694,6.9995705637389225
Joan works on the committee,5.037898377785803,2.3511178251096867,5.126871029746304,1.1309084286072364,2.145321409291599
Linda is very knowledgeable on this subject,6.978059197154889,1.2256764389992771,1.8439984213862195,1.0012201070743547,1.8663317333354204
The factory workers are on strike for a second day,5.793421029298556,6.999913067482693,6.958933832013655,1.0265756897905074,1.3198444901747144
These cold nights are very hard on the homeless,6.976208596472786,6.999991044869782,6.939074713206287,1.115054935453826,1.482277846500768
They ordered a court martial to be held on him,5.137974086886002,6.9579597743553485,6.999769020599092,1.0005109440740683,1.0129147264363483
Pam is on a diet,2.070003364015609,4.515983751783392,6.565479161132551,1.2179421268459207,2.3104103920141936
The dog is on the leash,6.999568755722226,6.992032061528848,6.999984190327791,6.951650875842871,6.9992833597997155
She is on the pill,1.011054974262492,1.369657527883692,1.4496178974138714,1.0004714792726508,1.0025979890433692
The ship is on the anchor,6.999972750755765,6.9988319313163405,6.999969041034323,6.709429662844216,6.999748832754085
The lunch is on George,1.5293998122227737,1.0278907233952164,1.1022800958245487,1.0054048954401504,1.1552976467616975
He lives on a pension,1.2737841257784177,1.0149576334419903,1.4464704141539046,1.0000827057810961,1.0009842353173668
The boss is on my neck,1.2702816816993343,6.999985855672487,6.990812070738369,1.3342739170445976,1.352888288694241
There are fifty nurses on the hospital staff,6.999035721348802,2.736703974479478,5.511111339234733,1.037103350782638,6.721647663237908
There is ten cent interest on the dollar,1.4802161869785748,4.620565045052015,1.9392972870405407,1.0018032353474287,1.0162137526120778
The vase is on the table,6.999978981940409,6.978203551485383,6.998856895531647,6.99982963823543,6.999993442478932
The fish is on the surface,6.815778703150319,3.581605229079082,5.562106004733457,6.022691135217286,6.999970193967077
The fly is on the ceiling,6.987915256774497,1.7441420959190885,6.990587877396568,6.619976366268079,6.999195887065046
She has a beautiful ring on her finger,6.999972563501734,6.999911202563592,6.998858520043367,6.999756359817933,6.999996430148913
The house rests on the foundation,6.9999997304542205,6.9999912430205375,6.999994153140035,6.999509166090766,6.73492594285361
They hung a picture on the wall,6.999994388636923,6.994252072389058,6.998892294754468,6.999927960286343,6.999998018493259
I have a cut on my finger,3.106636498037562,6.999982626789007,3.9210485103694945,1.2575899523300589,2.9388323827820675
I have a rash on my back,1.3270160243878588,6.9972265803140035,1.5473811727123812,3.4802169671698,6.941162822551535
The actor is on stage,6.999932977806081,6.992587375230094,6.999292612276659,6.994048287135419,6.999999000780576
He resides on the continent,1.0599961910865214,1.0021318564551585,2.155789260737612,1.000193980940343,1.008512993990836
