Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
stand at attention,7,5,3,2,2,7,5,3,2,2
stand out in several sports,1,3,2,2,2,1,3,2,2,2
to stand firm,5,6,2,2,6,5,6,2,2,6
don't stand for such treatment,1,1,1,2,5,1,1,1,2,5
to stand the test of time,1,2,1,2,4,1,2,1,2,4
united we stand,3,3,2,7,3,3,3,2,7,3
we stand on 30 years of experience,4,2,2,4,1,4,2,2,4,1
let the issue stand,2,2,2,2,2,2,2,2,2,2
let the mixture stand,2,1,1,2,1,2,1,1,2,1
get stood up for a date,1,1,1,2,1,1,1,1,2,1
he stands six-foot nine,7,2,1,1,1,7,2,1,1,1
the clock stands on the mantle,4,1,3,2,1,4,1,3,2,1
one-night stand,1,1,2,2,1,1,1,2,2,1
to stand to profit,1,1,2,3,1,1,1,2,3,1
to stand in someone else's shoes,1,3,3,5,2,1,3,3,5,2
on the witness stand,2,1,5,2,1,2,1,5,2,1
stand in awe,3,2,3,2,1,3,2,3,2,1
the police told them to stand back,1,1,3,2,2,1,1,3,2,2
stand by your man,1,2,2,4,2,1,2,2,4,2
the engine can't stand the constant wear,1,1,1,3,3,1,1,1,3,3
stand on shaky ground,4,6,2,2,3,4,6,2,2,3
to stand accused,2,2,2,2,2,2,2,2,2,2
the house stands in the clearing,4,1,5,2,1,4,1,5,2,1
the barometer stands at 30 inches,1,1,1,1,1,1,1,1,1,1
as the matter now stands,1,1,2,2,1,1,1,2,2,1
the part stands for the whole,1,2,5,5,1,1,2,5,5,1
it stands to reason,1,1,2,5,1,1,1,2,5,1
they did nothing but stand around,5,2,2,1,2,5,2,2,1,2
to stand against great odds,2,4,2,2,6,2,4,2,2,6
a standing ovation,7,2,2,2,1,7,2,2,2,1
the boss always stands over me,5,2,5,5,3,5,2,5,5,3
he stands committed,2,2,2,2,2,2,2,2,2,2
